year,shipments,value
1951,258,2526
1952,376,4353
1953,586,6476
1954,787,8516
1955,949,9816
1956,1178,12625
1957,1292,14304
1958,1296,13841
1959,1725,16567
1960,1746,17659
1961,1997,21525
1962,2833,31386
1963,3702,40366
1964,4419,49548
1965,3637,46339
1966,3256,43922
1967,3650,50401
1968,4103,59302
1969,4825,72569
1970,5480,85996
1971,5143,88386
1972,5554,105244
1973,5749,118909
1974,5995,145525
1975,6808,169777
1976,7577,195881
1977,9166,237028
1978,11478,272726
1979,13391,296147
1980,15732,350673
1981,16730,371972
1982,15531,334421
1983,16358,337398
1984,18444,363148
1985,20246,375329
1986,21994,373624
1987,22671,345703
1988,22350,335995
1989,25675,362738
1990,28525,385845
1991,29764,393931
1992,27188,342025
1993,26765,302032
1994,26681,299363
1995,29571,295441
1996,31115,322473
1997,36671,375017
1998,36000,384223
1999,38967,586745
2000,42061,739987
2001,42352,785318
2002,48211,997684
2003,59704,1343192
2004,69822,1599990
2005,70146,1583328
2006,80618,1783152
2007,101159,2064404
2008,119757,2164040
2009,105864,1620799
2010,121463,1643253
2011,115524,1452242
2012,98139,1468115
2013,62840,1168492
2014,43434,964516
2015,35395,885446
2016,24190,710275
2017,24978,792817
2018,19423,729144
