Manufacturer,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015*,2016*,2017*,2018*
Alcatel,,,,,,2.631,6.967,,,,,,,,,,,,,,,,,,,,
Apple,,,,,,,,,,,,,,,,2.3,12,24.889,46.5983,89.2632,130.1332,150.7859,191.426,225.8506,216.064,214.9244,209.0484
BBK,,,,,,,,,,,,,,,,,,,,,,,,,72.4086,,
Ericsson,,,,,,15.914,23.827,29.785,41.467,26.956,,,,,,,,,,,,,,,,,
HTC,,,,,,,,,,,,,,,,,,,24.6884,43.2669,32.1218,,,,,,
Huawei,,,,,,,,,,,,,,,,,,,23.8147,40.6634,47.2883,53.2951,70.499,104.0947,132.8249,150.534.3,202.9014
Lenovo,,,,,,,,,,,,,,,,,,,,,,45.2847,,72.7482,,,
Lenovo/Motorola,,,,,,,,,,,,,,,,,,,,,,,84.029,,,,
LG,,,,,,,,,,,,26.2137,42.2768,54.9246,61.986,78.5763,102.5554,122.0553,114.1546,86.3709,58.0159,69.0245,76.096,,,,
Micromax,,,,,,,,,,,,,,,,,,,,,,,37.094,,,,
Microsoft,,,,,,,,,,,,,,,,,,,,,,,185.66,,,,
Motorola,4,,12,,60,25.328,32.319,47.818,60.094,59.097,64.64,75.177,104.124,144.92,209.251,164.307,106.59,58.4752,38.5537,40.269,33.9163,,,,,,
NEC,2,,6,,,,,,,,,,,,,,,,,,,,,,,,
Nokia,3,5,9,13,18,20.593,37.374,76.335,126.369,139.672,151.422,180.672,207.231,265.615,344.916,435.453,472.315,440.8816,461.3182,422.4783,333.938,250.7931,,,,,
Oppo,,,,,,,,,,,,,,,,,,,,,,,,,85.2995,112.124,118.837.5
Others,,,,,,,,,,,,,,,,,248.189,299.1792,488.5693,597.3269,587.3996,613.71,629.36,635.3685,682.3143,638.0047,607.049
Panasonic,,,,,,8.627,13.397,15.581,,,,,,,,,,,,,,,,,,,
RIM,,,,,,,,,,,,,,,,,,,47.4516,51.5419,34.2103,,,,,,
Samsung,,,,,,,4.686,17.687,20.639,28.234,41.684,54.475,85.238,103.754,116.48,154.541,199.182,235.772,281.0658,313.9042,384.6312,444.4442,392.546,320.4,306.4466,321.2633,295.0437
Siemens,,,,,,,,,26.989,29.753,34.618,43.754,48.456,28.591,,,,,,,,,,,,,
Sony,,,,,,,,,,,,,,,,,,,,,,37.5957,37.791,,,,
Sony Ericsson,,,,,,,,,,,,,,,,,93.4145,54.8734,41.8192,32.5975,,,,,,,
TCL,,,,,,,,,,,,,,,,,,,,,37.1766,49.5313,64.026,,,,
Vivo,,,,,,,,,,,,,,,,,,,,,,,,,,99.6848,
Xiaomi,,,,,,,,,,,,,,,,,,,,,,,56.529,65.6186,,,122.387
Yulong,,,,,,,,,,,,,,,,,,,,,,32.6014,,,,,
ZTE,,,,,,,,,,,,,,,,,,,28.7687,56.8818,67.3444,59.8988,53.91,,,,
Total,,,,,,107.818,162.856,283.581,412.731,399.583,423.4185,519.9855,674.0019,816.5629,990.8625,1152.8398,1222.2452,1211.2366,1596.8024,1774.5641,1746.1756,1806.9647,1878.968,1423.9003,1495.358,1536.5355,1555.267
